"","number","snippet","type_of_material"
"1",1,"On the intelligent independent voters of the First Judicial District, Democrats, Republicans, women and men of whatever party or of no party, rests a momentous responsibility and duty, to be fulfilled at the polls tomorrow.","Editorial"
"2",2,"estimate of persons in Greater N Y C who have subscribed to fund","Article"
"3",3,"Isaacs, Hy, slain following strike of laundry employes","Article"
"4",4,"Denmark places 16 vessels in coal trade, in reply to Shipping Bd's complaint of diverted tonnage","Article"
"5",5,"Considerable activity in trans-Pacific shipping appears from the Eastern end of the line, according to George E. Anderson, Consul General at Honkong, in a recent report on the situation to the Department of Commerce. Indications are, he said, that...","Article"
"6",6,"WASHINGTON, Oct. 31.--Additional troops, drawn from military departments which apparently will not be concorned with the coal strike, have been moved to points in the Central Department and placed under command of General Wood, Secretary Baker sai...","Front Page"
"7",7,"vs Jackson","Article"
"8",8,"PRINCETON, N.J., Oct. 31.--By a vote of 543 to 297 Princeton University today went on record favoring the ratification of the proposed League of Nations with reservations. One hundred and twenty wanted to reject the covenant altogether.","Article"
"9",9,"Fined by French for disorders fomented by Germans","Article"
"10",10,"Zimro Ensemble","Article"
"11",11,"","Article"
"12",12,"","Article"
"13",13,"","Article"
"14",14,"","Article"
"15",15,"An energetic drive for members will be made by the Red Cross in its Third Roll Call, which extends from Nov. 2 to Nov. 11. The Roll Call is being held a month earlier than it was last year, because weather conditions impeded it then.  The Red Cros...","Article"
"16",16,"","Obituary"
"17",17,"","Article"
"18",18,"","Article"
"19",19,"","Article"
"20",20,"","Article"
"21",21,"","Article"
"22",22,"","Article"
"23",23,"THE most significant innovation for which the new Society of Paint  ers, Sculptors and Gravers makes itself responsible is the inclusion in the society and its exhibitions of artists working chiefly or wholly in pastel, water color or black and wh...","Article"
"24",24,"","Article"
"25",25,"","Article"
"26",26,"","Article"
"27",27,"THERE is a wide divergence of opinion nowadays among persons engaged in mercantile business as to what is in store  for the future. But this concerns only two points, namely, when prices are due for a fall and whether they will come down suddenly ...","Article"
"28",28,"","Article"
"29",29,"","Article"
"30",30,"The first of a series of wrestling bouts designed to crown an undisputed champion will bring together Loe Stecher and Ed. ""Strangler"" Lewis in a finish match at Madison Square Garden tonight.  ","Article"
"31",31,"Mme. Marguerite. d' Alvarez, a Peruvian contralto who first appeared here in the later seasons of Hammerstein's Manhattan Opera, returned after some years on the British concert stage to sing yesterday in Carnegie Hall before ...","Article"
"32",32,"PITTSBURGH, Oct. 31.--A special convention of the State Federation of Labor has been called for tomorrow by the President, James H. Maurer of Harrisburg, and will be attended by about 500 delegates from labor bodies throughout the State.","Article"
"33",33,"renames square in his honor","Article"
"34",34,"proclamation by Gov Smith","Article"
"35",35,"Mob drives negroes from Corbin","Article"
"36",36,"INDIANAPOLIS, Ind., Nov. 1.--United Mine Workers headquarters was quiet today. Most of the members of the executive board had returned to their homes, but John L. Lewis, acting President, and William Green, Secretary ...","Front Page"
"37",37,"Colonel H.A. Guinzberg, Chairman of the United Building Fund Campaign of Federated Jewish Institutions, announce Federated Jewish Institutions, announced yesterday that nearly $6,000,000 of the  $10,000,000 sought has been raised. He issued a call...","Article"
"38",38,"ill","Article"
"39",39,"M. S. Rachmil and A. L. Samuelson acquitted on charge of falsifying income tax returns of N. Bloom","Article"
"40",40,"INDIANAPOLIS, Oct. 31.--The strike of the bituminous coal miners called by the United Mine Workers of America was carried into effect by a large proportion of the workers tonight, with their national officers silenced and prevented from further ac...","Front Page"
"41",41,"THE Field Exploration Committee of the New York Historical Society has unearthed a large num  ber of Revolutionary War relics at old Fort Hill, at Richmond, S.I. The committee has been exploring the site of the fort quiet ly during the greater par...","Article"
