"","number","abstract","section_name"
"1",1,"The author and essayist shares insights on immigrant striving, social media and Australia’s imperfect meritocracy.","World"
"2",2,"The tempestuous and successful coach will lead England against South Africa in Saturday’s Rugby World Cup final.","Sports"
"3",3,"Robyn Weintraub’s Friday puzzle will leave you smiling.","Crosswords & Games"
"4",4,"Friday: An interview with Leonard Kleinrock at U.C.L.A. about the network he helped start. Also: Wildfire updates.","U.S."
"5",5,"The clerk, Anwar Ghazali, was convicted of second-degree murder in August.","U.S."
"6",6,"The company recently said it would not moderate politicians’ speech or fact-check their political ads. What do you think of this policy?","The Learning Network"
"7",7,"Rising sales and profitability suggest the country’s growing middle class still feels inclined to spend despite the trade war and other problems.","Business Day"
"8",8,"The official whose critical article will now be a book knows how the president “likes to distract attention from a message,” says the author’s agent.","U.S."
"9",9,"Leonard was as aggressive as he had been all season in the Clippers’ 103-97 win, scoring 38 points.","Sports"
"10",10,"The White House declined to indicate who would lead the department on a permanent basis.","U.S."
"11",11,"President Emmanuel Macron wants to lead, but his lone-wolf act has annoyed European colleagues, undermining his efforts.","World"
"12",12,"Scorsese’s Netflix gangster epic will play in select theaters before it streams. “It’s a disgrace,” says John Fithian, the head of the theater owners organization.","Business Day"
"13",13,"Born with H.I.V., Warren Williams wanted only to be “like other kids.” Now he is primed for a career working with children as a mentor.","Neediest Cases"
"14",14,"The New York Times asked readers to send their queries.","Business Day"
"15",15,"The Sharjah Biennial will present a posthumous show by the acclaimed Nigerian curator, who died this year at the age of 55.","Arts"
"16",16,"The messaging service is suing a cybersurveillance company. Whether it’s successful or not, it is a strong statement from WhatsApp and its owner, Facebook.","Technology"
"17",17,"Readers who have struggled to find good jobs despite the strong economy shared their experiences.","Reader Center"
"18",18,"Here’s what you need to know.","Briefing"
"19",19,"Old, powerful people often seem to be more upset by online criticism than they are by injustice.","Opinion"
"20",20,"The nation’s railway system has long been plagued by corruption and mismanagement, despite serving as the only link between many cities and towns.","World"
"21",21,"Current law prevents women from revoking consent.","U.S."
"22",22,"He is taking a leave amid a federal investigation into financial wrongdoing at the union.","Business Day"
"23",23,"Santa Anita, which hosted the race, has seen 37 horses die this year. On Saturday, the 4-year-old Mongolian Groom was taken away by ambulance with a leg injury and euthanized.","Sports"
"24",24,"Benefits were also held for cancer research and the New-York Historical Society.","Style"
"25",25,"Even after the state’s largest utilities shut off electricity to millions of residents, their equipment was still suspected of starting some fires.","U.S."
"26",26,"Mr. Trump’s decision to shift his home base to Palm Beach also comes at a time when the president has been disengaged from daily operations at the Trump Organization.","U.S."
